id	id_sent	token	POS
0	0	небесное	ADJ
1	0	светило	NOUN
2	0	было	VERB
3	0	закрыто	VERB
4	0	дождевыми	ADJ
5	0	тучами	NOUN
6	0	а	CONJ
7	0	вчера	ADV
8	0	оно	PRON
9	0	ярко	ADV
10	0	и	CONJ
11	0	ласково	ADV
12	0	нам	PRON
13	0	светило	VERB
14	1	если	CONJ
15	1	бы	PART
16	1	мыло	NOUN
17	1	приходило	VERB
18	1	по	ADP
19	1	утрам	NOUN
20	1	ко	ADP
21	1	мне	PRON
22	1	в	ADP
23	1	кровать	NOUN
24	1	и	CONJ
25	1	само	ADJ
26	1	меня	PRON
27	1	бы	PART
28	1	мыло	VERB
29	1	хорошо	ADJ
30	1	бы	PART
31	1	это	PRON
32	1	было	VERB
33	2	мы	PRON
34	2	ели	VERB
35	2	ершей	NOUN
36	2	у	ADP
37	2	ели	NOUN
38	3	скорей	ADV
39	3	сестра	NOUN
40	3	на	ADP
41	3	рыб	NOUN
42	3	взгляни	VERB
43	3	попались	VERB
44	3	на	ADP
45	3	крючок	NOUN
46	3	они	PRON
47	3	в	ADP
48	3	ведерко	NOUN
49	3	руку	NOUN
50	3	окуни	VERB
51	3	не	PART
52	3	бойся	VERB
53	3	это	PRON
54	3	окуни	NOUN
55	4	я	PRON
56	4	любила	VERB
57	4	печь	VERB
58	4	пироги	NOUN
59	4	пока	CONJ
60	4	в	ADP
61	4	доме	NOUN
62	4	перекладывали	VERB
63	4	печь	NOUN
64	5	подплывая	VERB
65	5	к	ADP
66	5	берегу	NOUN
67	5	я	PRON
68	5	берегу	VERB
69	5	свою	DET
70	5	книгу	NOUN
71	5	чтобы	CONJ
72	5	она	PRON
73	5	не	PART
74	5	намокла	VERB
75	5	от	ADP
76	5	воды	NOUN
77	6	в	ADP
78	6	гостиной	NOUN
79	6	присутствующие	VERB
80	6	ограничены	VERB
81	6	условностями	NOUN
82	6	этикета	NOUN
83	6	эти	DET
84	6	люди	NOUN
85	6	консервативны	ADJ
86	6	и	CONJ
87	6	ограниченны	ADJ
88	7	средства	NOUN
89	7	на	ADP
90	7	ремонт	NOUN
91	7	изысканы	VERB
92	7	теперь	ADV
93	7	у	ADP
94	7	нас	PRON
95	7	есть	VERB
96	7	деньги	NOUN
97	7	чтобы	CONJ
98	7	осуществить	VERB
99	7	мечту	NOUN
100	7	все	DET
101	7	ее	DET
102	7	платья	NOUN
103	7	весьма	ADV
104	7	изысканны	ADJ
105	7	и	CONJ
106	7	выполнены	VERB
107	7	из	ADP
108	7	качественных	ADJ
109	7	материалов	NOUN
110	8	марина	NOUN
111	8	умна	ADJ
112	8	и	CONJ
113	8	воспитанна	ADJ
114	8	потому	ADV
115	8	что	CONJ
116	8	она	PRON
117	8	воспитана	VERB
118	8	коллективом	NOUN
119	9	это	DET
120	9	существительное	ADJ
121	9	образовано	VERB
122	9	от	ADP
123	9	глагола	NOUN
124	9	мои	DET
125	9	братья	NOUN
126	9	образованны	ADJ
127	9	и	CONJ
128	9	работают	VERB
129	9	в	ADP
130	9	хороших	ADJ
131	9	фирмах	NOUN
132	10	петр	NOUN
133	10	ведет	VERB
134	10	себя	PRON
135	10	странно	ADV
136	11	глория	NOUN
137	11	смотрела	VERB
138	11	тепло	ADV
139	11	и	CONJ
140	11	ласково	ADV
141	12	мишино	ADJ
142	12	поведение	NOUN
143	12	странно	ADJ
144	13	сумка	NOUN
145	13	легче	ADJ
146	13	чемодана	NOUN
147	14	сегодня	ADV
148	14	солнце	NOUN
149	14	светит	VERB
150	14	ярче	ADV
151	15	озеро	NOUN
152	15	ближе	ADJ
153	15	чем	CONJ
154	15	река	NOUN
155	16	этот	DET
156	16	способ	NOUN
157	16	действует	VERB
158	16	сильнее	ADV
159	17	овсяная	ADJ
160	17	каша	NOUN
161	17	вкуснее	ADJ
162	18	оля	NOUN
163	18	плясала	VERB
164	18	все	PART
165	18	веселей	ADV
166	19	мне	PRON
167	19	тепло	ADJ
168	20	ближе	ADV
169	20	садись	VERB
170	21	это	PRON
171	21	важно	ADJ
172	22	начиная	ADP
173	22	с	ADP
174	22	субботы	NOUN
175	22	не	PART
176	22	будет	VERB
177	22	света	NOUN
178	23	начиная	VERB
179	23	урок	NOUN
180	23	учитель	NOUN
181	23	сообщил	VERB
182	23	что	CONJ
183	23	последнего	ADJ
184	23	урока	NOUN
185	23	не	PART
186	23	будет	VERB
187	24	он	PRON
188	24	смог	VERB
189	24	выполнить	VERB
190	24	все	DET
191	24	калькуляции	NOUN
192	24	в	ADP
193	24	уме	NOUN
194	24	не	PART
195	24	считая	VERB
196	24	числа	NOUN
197	24	на	ADP
198	24	бумажке	NOUN
199	24	как	CONJ
200	24	все	PRON
201	25	трое	NUM
202	25	в	ADP
203	25	лодке	NOUN
204	25	не	PART
205	25	считая	ADP
206	25	собаки	NOUN
207	26	он	PRON
208	26	выходил	VERB
209	26	из	ADP
210	26	зала	NOUN
211	26	благодаря	VERB
212	26	всех	PRON
213	26	и	CONJ
214	26	каждого	DET
215	26	за	ADP
216	26	уделённое	VERB
217	26	ему	PRON
218	26	внимание	NOUN
219	27	наша	DET
220	27	команда	NOUN
221	27	победила	VERB
222	27	благодаря	ADP
223	27	помощи	NOUN
224	27	болельщиков	NOUN
